Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season
Brooklyn Nets,New York Knicks,21800018,107,0.0,0.488,0.185,0.682,38.6,27.7,18.8,8.9,5.0,-3.0,99.0,103.0,0.545,105,1.0,0.455,0.364,0.774,41.1,18.8,14.3,10.7,5.4,17.0,112.5,94.7,0.5589999999999999,1,2018-10-19,2018-19
LA Clippers,Oklahoma City Thunder,21800025,108,0.0,0.39799999999999996,0.28600000000000003,0.833,44.8,20.0,13.3,2.9,8.6,-8.6,93.3,102.9,0.49700000000000005,92,0.0,0.363,0.27,0.649,43.7,20.4,14.6,11.7,5.8,-7.8,97.1,104.9,0.466,1,2018-10-19,2018-19
Orlando Magic,Charlotte Hornets,21800017,88,1.0,0.415,0.28,0.613,49.5,19.4,11.7,6.8,6.8,2.9,101.0,98.1,0.483,120,0.0,0.446,0.42100000000000004,0.636,39.4,20.2,10.6,7.7,8.7,-1.0,107.7,109.7,0.551,0,2018-10-19,2018-19
Utah Jazz,Golden State Warriors,21800024,123,1.0,0.519,0.48100000000000004,0.737,41.1,19.6,15.9,7.5,3.7,5.6,115.0,109.3,0.642,124,1.0,0.442,0.26899999999999996,0.9440000000000001,56.3,27.2,20.4,6.8,6.8,7.8,104.9,97.1,0.525,0,2018-10-19,2018-19
Milwaukee Bucks,Indiana Pacers,21800023,118,1.0,0.494,0.41200000000000003,0.75,55.3,25.2,20.4,4.9,3.9,1.0,109.7,107.7,0.602,101,1.0,0.5660000000000001,0.385,0.5379999999999999,59.4,30.2,20.8,2.1,7.3,29.2,115.6,87.4,0.626,1,2018-10-19,2018-19
Minnesota Timberwolves,Cleveland Cavaliers,21800021,131,0.0,0.429,0.316,0.889,47.9,20.8,11.5,9.4,2.1,-4.2,112.5,114.3,0.525,123,0.0,0.4,0.368,0.7440000000000001,49.0,17.0,16.0,4.0,0.0,-12.0,104.0,116.0,0.509,1,2018-10-19,2018-19
Toronto Raptors,Boston Celtics,21800019,113,1.0,0.489,0.424,0.6,43.0,21.0,10.0,6.0,7.0,12.0,116.0,104.0,0.575,101,1.0,0.433,0.297,0.7140000000000001,52.4,20.0,14.3,6.7,4.8,17.1,100.0,82.1,0.509,1,2018-10-19,2018-19
Memphis Grizzlies,Atlanta Hawks,21800020,131,0.0,0.298,0.345,0.821,29.5,16.8,10.5,11.6,3.2,-29.5,87.4,115.6,0.431,117,0.0,0.456,0.278,0.833,39.8,16.8,21.2,6.2,2.7,-16.8,94.7,112.5,0.546,1,2018-10-19,2018-19
New Orleans Pelicans,Sacramento Kings,21800022,149,1.0,0.531,0.4,0.773,51.4,34.3,11.4,7.6,2.9,18.1,124.8,107.7,0.608,129,0.0,0.516,0.368,0.667,34.6,15.9,8.4,7.5,2.8,-5.6,109.3,115.0,0.568,1,2018-10-19,2018-19
Philadelphia 76ers,Orlando Magic,21800029,116,0.5,0.433,0.27399999999999997,0.774,47.9,22.5,13.6,8.5,6.1,0.5,100.5,100.5,0.526,115,0.5,0.39899999999999997,0.23199999999999998,0.644,45.9,18.4,14.5,7.2,6.8,-14.0,92.8,106.3,0.462,1,2018-10-20,2018-19
Los Angeles Lakers,Houston Rockets,21800035,115,0.0,0.484,0.233,0.759,40.4,20.2,13.2,8.8,5.3,-7.9,104.4,113.3,0.563,124,0.0,0.424,0.33299999999999996,0.75,35.6,20.2,11.5,7.7,6.7,-18.3,107.7,124.8,0.546,0,2018-10-20,2018-19
Chicago Bulls,Detroit Pistons,21800031,116,0.0,0.436,0.33299999999999996,0.75,36.4,26.2,11.2,3.7,5.6,-17.8,100.9,118.7,0.508,118,1.0,0.424,0.25,0.8640000000000001,46.0,21.0,17.0,5.0,5.0,3.0,103.0,99.0,0.506,0,2018-10-20,2018-19
New York Knicks,Boston Celtics,21800028,101,0.5,0.429,0.344,0.8240000000000001,39.4,16.8,9.1,10.6,3.4,8.2,111.1,102.9,0.529,103,0.5,0.418,0.342,0.708,51.0,24.5,15.2,5.4,5.4,2.9,101.0,97.1,0.499,0,2018-10-20,2018-19
Miami Heat,Charlotte Hornets,21800030,112,0.5,0.392,0.309,0.732,51.4,19.7,17.3,4.8,4.8,-1.0,102.9,103.3,0.489,113,0.5,0.457,0.434,0.738,45.9,25.4,12.9,6.7,6.2,14.8,111.0,97.1,0.573,0,2018-10-20,2018-19
Portland Trail Blazers,San Antonio Spurs,21800034,121,1.0,0.44,0.35100000000000003,0.9309999999999999,47.8,18.6,15.0,8.0,8.8,8.0,113.3,104.4,0.568,108,1.0,0.43,0.44,0.7240000000000001,53.1,22.4,12.2,3.1,4.1,4.1,114.3,112.5,0.53,1,2018-10-20,2018-19
Indiana Pacers,Brooklyn Nets,21800026,132,0.5,0.5,0.364,0.65,49.5,21.7,18.7,4.5,5.1,5.6,107.1,101.0,0.565,112,0.5,0.49,0.298,0.7829999999999999,48.0,25.5,20.9,5.6,5.6,-0.5,105.6,106.1,0.584,1,2018-10-20,2018-19
Dallas Mavericks,Minnesota Timberwolves,21800032,140,0.0,0.43200000000000005,0.303,0.7,40.0,29.5,9.5,7.4,5.3,-22.1,105.3,127.4,0.517,136,0.5,0.466,0.364,0.919,42.4,23.6,12.3,8.9,4.4,2.0,117.7,114.6,0.5820000000000001,1,2018-10-20,2018-19
Denver Nuggets,Phoenix Suns,21800033,119,1.0,0.379,0.33299999999999996,0.7859999999999999,53.8,19.2,10.6,5.8,8.7,8.7,102.9,93.3,0.507,91,1.0,0.5429999999999999,0.5589999999999999,0.875,46.3,36.8,12.6,5.3,2.1,22.1,127.4,105.3,0.687,1,2018-10-20,2018-19
Washington Wizards,Toronto Raptors,21800027,113,0.0,0.469,0.26899999999999996,0.7440000000000001,37.7,17.9,13.2,6.6,14.2,-0.9,105.7,107.6,0.57,117,1.0,0.478,0.397,0.667,46.0,22.5,11.5,4.5,5.0,12.0,114.5,103.0,0.569,0,2018-10-20,2018-19
LA Clippers,Houston Rockets,21800039,115,0.5,0.414,0.35200000000000004,0.7829999999999999,46.1,20.4,14.1,2.9,5.8,3.4,100.0,97.1,0.527,112,0.5,0.441,0.35600000000000004,0.7040000000000001,42.7,20.2,14.1,7.0,5.2,-4.7,110.8,114.4,0.557,1,2018-10-21,2018-19
Cleveland Cavaliers,Atlanta Hawks,21800036,111,0.0,0.444,0.35700000000000004,0.794,44.4,20.8,14.5,4.3,1.0,-9.7,109.7,119.3,0.546,133,0.0,0.474,0.364,0.667,38.8,21.0,19.6,7.3,3.7,-15.1,102.3,117.4,0.569,0,2018-10-21,2018-19
Denver Nuggets,Golden State Warriors,21800038,100,1.0,0.442,0.327,0.8029999999999999,52.9,23.1,13.9,8.7,7.2,17.8,108.7,90.9,0.556,98,1.0,0.5,0.37799999999999995,0.917,48.8,26.6,17.9,8.2,6.3,4.3,112.1,107.7,0.586,1,2018-10-21,2018-19
Oklahoma City Thunder,Sacramento Kings,21800037,120,0.0,0.36,0.243,0.6829999999999999,47.5,19.1,13.7,8.3,4.9,-11.8,94.1,105.9,0.452,131,0.0,0.518,0.386,0.705,34.7,18.7,10.0,6.4,2.3,-11.9,112.3,123.1,0.585,0,2018-10-21,2018-19
Golden State Warriors,Phoenix Suns,21800047,123,0.667,0.48700000000000004,0.324,0.867,45.9,25.1,18.2,6.8,6.2,2.3,107.5,104.9,0.574,103,0.5,0.462,0.41100000000000003,0.706,42.4,27.8,15.7,5.6,3.0,-3.5,107.1,110.1,0.5870000000000001,1,2018-10-22,2018-19
Los Angeles Lakers,San Antonio Spurs,21800048,142,0.0,0.48200000000000004,0.242,0.7020000000000001,40.2,22.8,11.6,8.0,7.1,-8.0,104.5,113.5,0.5479999999999999,143,0.5,0.425,0.436,0.7440000000000001,47.7,26.4,9.3,4.1,4.1,-4.7,114.0,119.9,0.519,0,2018-10-22,2018-19
Boston Celtics,Orlando Magic,21800040,90,0.667,0.414,0.34700000000000003,0.789,49.2,23.1,15.0,6.2,4.2,2.6,100.7,97.7,0.51,93,0.33299999999999996,0.41700000000000004,0.341,0.687,47.4,22.7,15.1,7.2,6.9,-9.9,101.0,110.5,0.499,0,2018-10-22,2018-19
Portland Trail Blazers,Washington Wizards,21800046,124,1.0,0.484,0.406,0.8959999999999999,48.1,21.6,13.9,6.7,6.3,10.6,119.7,108.6,0.607,125,0.0,0.441,0.308,0.775,37.2,18.8,12.1,8.7,11.6,-2.4,108.7,111.7,0.5589999999999999,0,2018-10-22,2018-19
Utah Jazz,Memphis Grizzlies,21800045,84,0.5,0.48200000000000004,0.43799999999999994,0.7759999999999999,38.9,21.3,16.1,9.0,3.8,2.4,116.6,114.2,0.623,92,0.5,0.418,0.418,0.746,34.2,23.8,13.4,9.9,3.5,-6.9,105.9,112.9,0.545,0,2018-10-22,2018-19
Milwaukee Bucks,New York Knicks,21800042,124,1.0,0.483,0.38799999999999996,0.6829999999999999,51.7,25.6,18.4,6.8,5.8,8.7,111.6,103.4,0.589,113,0.33299999999999996,0.424,0.344,0.7559999999999999,41.3,18.7,11.3,9.7,2.6,4.8,107.1,101.9,0.523,1,2018-10-22,2018-19
